,Livesp,lat,Floor,Price,Dist,Kitsp,Walk,Bal,New,Rooms,lon,Totsp,Nfloors,N,Metrdist,Brick,District,Tel
51,24,55.735302,2,7300000,0.4078308705181054,6,1.0,0.0,0.0,2,37.683257,38,9,51,10,1.0,0,1.0
52,"19,5",55.755353,4,7300000,0.4078308705181054,6,0.0,1.0,0.0,1,37.668615,32,5,52,5,,0,0.0
53,"32,5",55.775753,3,7334891,0.4078308705181054,–,1.0,0.0,,1,37.671938,"32,5",,53,6,,0,
54,"27,8",55.745617,4,7356800,0.4078308705181054,–,,,,2,37.685364,"41,3",19,54,,1.0,0,
55,"23,4",55.745617,5,7356800,0.4078308705181054,–,,,,2,37.685364,42,19,55,,1.0,0,
56,"27,6",55.775753,2,7411462,0.4078308705181054,–,1.0,0.0,,1,37.671938,"27,6",,56,6,,0,
57,–,55.760023,5,109781750,0.4078308705181054,–,1.0,,0.0,5,37.590776,460,8,57,9,,0,1.0
58,"124,2",55.753311,3,74520000,0.4078308705181054,–,0.0,0.0,0.0,3,37.580661,"124,2",13,58,15,1.0,0,1.0
59,"68,5",55.722142,5,43705000,0.4078308705181054,16,1.0,,0.0,3,37.618569,"108,8",11,59,7,1.0,0,0.0
60,17,55.773732,9,7500000,0.4078308705181054,"8,5",1.0,1.0,0.0,1,37.689096,"35,2",12,60,10,,0,0.0
61,"34,1",55.775753,2,7534606,0.4078308705181054,–,1.0,0.0,,1,37.671938,"34,1",,61,6,,0,
62,33,55.775753,4,7584028,0.4078308705181054,–,1.0,0.0,,1,37.671938,33,,62,6,,0,
63,24,55.758392,7,7600000,0.4078308705181054,6,1.0,1.0,0.0,2,37.536949,38,9,63,10,1.0,0,1.0
64,36,55.762571,2,7650000,0.4078308705181054,6,1.0,1.0,0.0,2,37.544054,43,5,64,10,,0,1.0
65,36,55.762571,2,7650000,0.4078308705181054,6,1.0,1.0,0.0,2,37.544054,43,5,65,15,,0,1.0
66,21,55.785685,8,7650000,0.4078308705181054,5,1.0,1.0,0.0,2,37.656505,36,9,66,13,1.0,0,1.0
67,–,55.775753,2,7757670,0.4078308705181054,"47,1",1.0,0.0,,2,37.671938,"47,1",4,67,5,1.0,0,1.0
68,18,55.775753,4,7764334,0.4078308705181054,–,1.0,,,1,37.671938,"32,2",4,68,6,1.0,0,
69,30,55.732651,5,7800000,0.4078308705181054,"6,5",1.0,1.0,0.0,2,37.673484,45,5,69,8,1.0,0,1.0
